id,plant,disease,symptoms,cause,treatment,prevention,affected_part,severity,favorable_conditions
104,Rice,Tungro,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Moderate,Cool and wet
105,Lemon,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf,Severe,Poor airflow
106,Papaya,Black Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Moderate,Cool and wet
107,Maize,Ear Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Severe,Excess moisture
108,Tomato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Fruit,Severe,Poor airflow
109,Peach,Leaf Curl,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Severe,Cool and wet
110,Bell Pepper,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,High,High humidity
111,Chilli,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,Low,Warm and humid
112,Rice,Blast,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Moderate,Warm and humid
113,Tomato,Late Blight,Water-soaked dark lesions spread quickly across leaves and stems.,A fungal-like pathogen spreads rapidly under cool and wet conditions.,Remove severely infected tissue and use a recommended fungicide.,Improve airflow and avoid prolonged leaf wetness.,Leaf,Moderate,Excess moisture
114,Mango,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,Moderate,Warm and humid
115,Wheat,Stem Rust,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,High,Cool and wet
116,Maize,Ear Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Low,High humidity
117,Grape,Botrytis Bunch Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,High,Poor airflow
118,Pomegranate,Fruit Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Moderate,High humidity
119,Maize,Northern Leaf Blight,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Low,Excess moisture
120,Chilli,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf and Fruit,Low,High humidity
121,Tomato,Leaf Mold,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,Low,High humidity
122,Bell Pepper,Phytophthora Blight,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,Moderate,High humidity
123,Maize,Ear Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,Severe,Excess moisture
124,Lemon,Sooty Mold,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Low,Poor airflow
125,Orange,Tristeza,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Severe,Warm and humid
126,Cucumber,Angular Leaf Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Severe,High humidity
127,Lemon,Sooty Mold,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,High,Warm and humid
128,Watermelon,Downy Mildew,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Moderate,Poor airflow
129,Rice,Bacterial Leaf Blight,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Severe,Poor airflow
